question_id,question,options,user_options
gender,What is your gender?,"[Man,Woman,Other,Prefer not to say]","[Man 👨,Woman 👩,Other,Prefer not to say]"
age,What is your age group?,"[<18,18-30,30-45,45-65,>65]","[<18,18–30,30–45,45–65,>65]"
car,Do you have access to a car for personal use?,"[Yes,No]","[Yes 👍,No 👎]"
mode,How do you usually commute to work study or other regular activities?,"[Car,Public Transport,Bike,Walk,Other]","[Car 🚗,Public Transport 🚆,Bike 🚲,Walk 🚶,Other ❓]"
children,Do you have children?,"[Yes,No]","[Yes 👍,No 👎]"
studies,What is the highest level of education you have completed?,"[Primary,Secondary,Vocational training,University,Other]","[Primary 📚,Secondary 🏫,Vocational training 🛠️,University 🎓,Other ❓]"
home,What is your postal code?,"5-digit","5-digit"
start,"To start click the image you prefer or click “=” if you like both equally.","",""
general-preference,Which street do you prefer?,"",""
physical-reason,"Why did you choose {AB_selection}? Select one reason:","[trees,fewer cars,sun/light,people,buildings]","[Trees 🌳,Fewer cars 🚗,Sun/light ☀️,People 👥,Buildings 🏢]"
walk-init,Where would you prefer to walk?,"[Continue]","[Continue]"
walk-preference,Where would you prefer to walk?,"",""
bike-init,Where would you prefer to bike?,"[Continue]","[Continue]"
bike-preference,Where would you prefer to bike?,"",""
stay-init,Where would you prefer to stay?,"[Continue]","[Continue]"
stay-preference,Where would you prefer to stay?,"",""